title;text_cleaning;title_preprocessing;target_class
The Machine That Changed the World : The Story of Lean Production;machine changed world story lean production;['machine', 'changed', 'world', 'story', 'lean', 'production'];sains-tech
Old-Time Country Wisdom & Lore: 1000s of Traditional Skills for Simple Living;oldtime country wisdom lore traditional skill simple living;['oldtime', 'country', 'wisdom', 'lore', 'traditional', 'skill', 'simple', 'living'];general
Syllabus: Notes from an Accidental Professor;syllabus note accidental professor;['syllabus', 'note', 'accidental', 'professor'];general
Star Wars Episode VII 2016 Die Cut Calendar Pad;star war episode vii die cut calendar pad;['star', 'war', 'episode', 'vii', 'die', 'cut', 'calendar', 'pad'];social-humanaria
Dear Mom: A Keepsake of Blessings and Memories of Growing Up with You (Specialty Journal);dear mom keepsake blessing memory growing specialty journal;['dear', 'mom', 'keepsake', 'blessing', 'memory', 'growing', 'specialty', 'journal'];sains-tech
USMLE Step 2 CK Lecture Notes 2016 (Kaplan Test Prep);usmle step ck lecture note kaplan test prep;['usmle', 'step', 'ck', 'lecture', 'note', 'kaplan', 'test', 'prep'];general
Behind the Shattered Glass: A Lady Emily Mystery (Lady Emily Mysteries);behind shattered glass lady emily mystery lady emily mystery;['behind', 'shattered', 'glass', 'lady', 'emily', 'mystery', 'lady', 'emily', 'mystery'];general
Vagabond, Vol. 3 (VIZBIG Edition);vagabond vol vizbig edition;['vagabond', 'vol', 'vizbig', 'edition'];general
Tunneling to the Future: The Story of the Great Subway Expansion That Saved New York;tunneling future story great subway expansion saved new york;['tunneling', 'future', 'story', 'great', 'subway', 'expansion', 'saved', 'new', 'york'];general
Harry Potter Movie 2002 Day-To-Day Calendar;harry potter movie daytoday calendar;['harry', 'potter', 'movie', 'daytoday', 'calendar'];general
Second Grade Spelling Flashcards (Flashcards Language Arts);second grade spelling flashcard flashcard language art;['second', 'grade', 'spelling', 'flashcard', 'flashcard', 'language', 'art'];social-humanaria
The Orphan Trains: Placing Out in America (Bison Book);orphan train placing america bison book;['orphan', 'train', 'placing', 'america', 'bison', 'book'];general
The Real ACT Prep Guide (The only guide to include 3 Real ACT tests);real act prep guide guide include real act test;['real', 'act', 'prep', 'guide', 'guide', 'include', 'real', 'act', 'test'];general
A Year to Live: How to Live This Year as If It Were Your Last;year live live year last;['year', 'live', 'live', 'year', 'last'];general
365 Cats Color Page-A-Day Calendar 2016;cat color pageaday calendar;['cat', 'color', 'pageaday', 'calendar'];general
Blood Orange: A China Bayles Mystery;blood orange china bayles mystery;['blood', 'orange', 'china', 'bayles', 'mystery'];general
Iron Fist: The Lives of Carl Kiekhaefer;iron fist life carl kiekhaefer;['iron', 'fist', 'life', 'carl', 'kiekhaefer'];general
What Do You Want from Me?: Learning to Get Along with In-Laws;want learning get along inlaws;['want', 'learning', 'get', 'along', 'inlaws'];social-humanaria
California Bar Exam Outlines - 2015: Outlines for the non-MBE subjects tested on the California bar examination;california bar exam outline outline nonmbe subject tested california bar examination;['california', 'bar', 'exam', 'outline', 'outline', 'nonmbe', 'subject', 'tested', 'california', 'bar', 'examination'];general
FE Civil Review Manual;fe civil review manual;['fe', 'civil', 'review', 'manual'];general
Days of Deepening Friendship: For the Woman Who Wants Authentic Life with God;day deepening friendship woman want authentic life god;['day', 'deepening', 'friendship', 'woman', 'want', 'authentic', 'life', 'god'];general
Hot Words for the ACT;hot word act;['hot', 'word', 'act'];general
I am AspienWoman: The Unique Characteristics, Traits, and Gifts of Adult Females on the Autism Spectrum;aspienwoman unique characteristic trait gift adult female autism spectrum;['aspienwoman', 'unique', 'characteristic', 'trait', 'gift', 'adult', 'female', 'autism', 'spectrum'];general
Reeds Vol 7: Advanced Electrotechnology for Marine Engineers (Reed's Marine Engineering and Technology);reed vol advanced electrotechnology marine engineer reed marine engineering technology;['reed', 'vol', 'advanced', 'electrotechnology', 'marine', 'engineer', 'reed', 'marine', 'engineering', 'technology'];sains-tech
The Earl & the Fairy, Vol. 4;earl fairy vol;['earl', 'fairy', 'vol'];general
Chile Peppers 2016 Wall Calendar;chile pepper wall calendar;['chile', 'pepper', 'wall', 'calendar'];general
A Kind of Grief: A Novel (The Highland Gazette Mystery Series);kind grief novel highland gazette mystery series;['kind', 'grief', 'novel', 'highland', 'gazette', 'mystery', 'series'];general
The Prime of Life: A History of Modern Adulthood;prime life history modern adulthood;['prime', 'life', 'history', 'modern', 'adulthood'];social-humanaria
The Walking Dead, Vol. 9: Here We Remain;walking dead vol remain;['walking', 'dead', 'vol', 'remain'];general
2016 A Fearless Woman Mini Calendar;fearless woman mini calendar;['fearless', 'woman', 'mini', 'calendar'];general
Chevrolet Blazer and Jimmy, 1969-82 (Chilton Total Car Care Series Manuals);chevrolet blazer jimmy chilton total car care series manual;['chevrolet', 'blazer', 'jimmy', 'chilton', 'total', 'car', 'care', 'series', 'manual'];general
Generational IQ: Christianity Isn't Dying, Millennials Aren't the Problem, and the Future is Bright;generational iq christianity isnt dying millennials arent problem future bright;['generational', 'iq', 'christianity', 'isnt', 'dying', 'millennials', 'arent', 'problem', 'future', 'bright'];general
Cambridge Preparation for the TOEFL Test Book with Online Practice Tests and Audio CDs (8) Pack;cambridge preparation toefl test book online practice test audio cd pack;['cambridge', 'preparation', 'toefl', 'test', 'book', 'online', 'practice', 'test', 'audio', 'cd', 'pack'];general
Boys, Girls & Body Science: A First Book About Facts of Life;boy girl body science first book fact life;['boy', 'girl', 'body', 'science', 'first', 'book', 'fact', 'life'];general
Cupcake 2016 Boxed/Daily Calendar;cupcake boxeddaily calendar;['cupcake', 'boxeddaily', 'calendar'];general
Damage Control (A Jonathan Grave Thriller);damage control jonathan grave thriller;['damage', 'control', 'jonathan', 'grave', 'thriller'];general
The Manga Guide to Linear Algebra;manga guide linear algebra;['manga', 'guide', 'linear', 'algebra'];general
CliffsNotes Praxis II: Middle School Science (0439);cliffsnotes praxis ii middle school science;['cliffsnotes', 'praxis', 'ii', 'middle', 'school', 'science'];general
The Fringe Hours: Making Time for You;fringe hour making time;['fringe', 'hour', 'making', 'time'];general
Fundamental Concepts in Electrical and Computer Engineering with Practical Design Problems (Second Edition);fundamental concept electrical computer engineering practical design problem second edition;['fundamental', 'concept', 'electrical', 'computer', 'engineering', 'practical', 'design', 'problem', 'second', 'edition'];sains-tech
Where Two Worlds Touch: A Spiritual Journey Through Alzheimer's Disease;two world touch spiritual journey alzheimers disease;['two', 'world', 'touch', 'spiritual', 'journey', 'alzheimers', 'disease'];sains-tech
Special Agent: Deputy U.S. Marshal: Treasury Enforcement Agent 10/e (Arco Civil Service Test Tutor);special agent deputy u marshal treasury enforcement agent e arco civil service test tutor;['special', 'agent', 'deputy', 'u', 'marshal', 'treasury', 'enforcement', 'agent', 'e', 'arco', 'civil', 'service', 'test', 'tutor'];general
A Trick of the Light (Chief Inspector Gamache, Book 7) (Chief Inspector Gamache Novel);trick light chief inspector gamache book chief inspector gamache novel;['trick', 'light', 'chief', 'inspector', 'gamache', 'book', 'chief', 'inspector', 'gamache', 'novel'];general
In the Woods;wood;['wood'];general
Naruto: 3-in-1 Edition, Vol. 1 (Uzumaki Naruto / The Worst Client / Dreams);naruto edition vol uzumaki naruto worst client dream;['naruto', 'edition', 'vol', 'uzumaki', 'naruto', 'worst', 'client', 'dream'];general
The Cartoon Guide to Chemistry (Cartoon Guide Series);cartoon guide chemistry cartoon guide series;['cartoon', 'guide', 'chemistry', 'cartoon', 'guide', 'series'];sains-tech
No More Vietnams;vietnam;['vietnam'];general
Freedom of Contract and Paternalism: Prospects and Limits of an Economic Approach (Perspectives from Social Economics);freedom contract paternalism prospect limit economic approach perspective social economics;['freedom', 'contract', 'paternalism', 'prospect', 'limit', 'economic', 'approach', 'perspective', 'social', 'economics'];social-humanaria
Maternal and Newborn Success: A Q&A Review Applying Critical Thinking to Test Taking (Davis's Success);maternal newborn success qa review applying critical thinking test taking davis success;['maternal', 'newborn', 'success', 'qa', 'review', 'applying', 'critical', 'thinking', 'test', 'taking', 'davis', 'success'];general
The Secrets of Self-Hypnosis: Harnessing the Power of Your Unconscious Mind;secret selfhypnosis harnessing power unconscious mind;['secret', 'selfhypnosis', 'harnessing', 'power', 'unconscious', 'mind'];general
2016 Amy Knapp Family Organizer;amy knapp family organizer;['amy', 'knapp', 'family', 'organizer'];general
McGraw-Hill's Top 50 Skills for a Top Score: ACT Math;mcgrawhills top skill top score act math;['mcgrawhills', 'top', 'skill', 'top', 'score', 'act', 'math'];sains-tech
The Legend of Zelda: A Link to the Past;legend zelda link past;['legend', 'zelda', 'link', 'past'];general
Intentional Interviewing and Counseling: Facilitating Client Development in a Multicultural Society;intentional interviewing counseling facilitating client development multicultural society;['intentional', 'interviewing', 'counseling', 'facilitating', 'client', 'development', 'multicultural', 'society'];sains-tech
It's In Her Blood;blood;['blood'];general
To Save the Children of Korea: The Cold War Origins of International Adoption (Asian America);save child korea cold war origin international adoption asian america;['save', 'child', 'korea', 'cold', 'war', 'origin', 'international', 'adoption', 'asian', 'america'];social-humanaria
Plant Intelligence and the Imaginal Realm: Beyond the Doors of Perception into the Dreaming of Earth;plant intelligence imaginal realm beyond door perception dreaming earth;['plant', 'intelligence', 'imaginal', 'realm', 'beyond', 'door', 'perception', 'dreaming', 'earth'];sains-tech
Li'l Abner: The Frazetta Years, Vol. 1: 1954-1955;lil abner frazetta year vol;['lil', 'abner', 'frazetta', 'year', 'vol'];general
Porsche Turbo: The Inside Story of Stuttgart's Turbocharged Road and Race Cars;porsche turbo inside story stuttgart turbocharged road race car;['porsche', 'turbo', 'inside', 'story', 'stuttgart', 'turbocharged', 'road', 'race', 'car'];social-humanaria
McGraw-Hill's Top 50 Skills For A Top Score: ASVAB Reading and Math with CD-ROM;mcgrawhills top skill top score asvab reading math cdrom;['mcgrawhills', 'top', 'skill', 'top', 'score', 'asvab', 'reading', 'math', 'cdrom'];sains-tech
Shattered Perspectives;shattered perspective;['shattered', 'perspective'];general
The Lakota Way 2010 Wall Calendar: Native American Wisdom on Ethics & Character;lakota way wall calendar native american wisdom ethic character;['lakota', 'way', 'wall', 'calendar', 'native', 'american', 'wisdom', 'ethic', 'character'];general
The Lion Graphic Bible: The Whole Story from Genesis to Revelation;lion graphic bible whole story genesis revelation;['lion', 'graphic', 'bible', 'whole', 'story', 'genesis', 'revelation'];social-humanaria
The MX Book of New Sherlock Holmes Stories Part I: 1881 to 1889;mx book new sherlock holmes story part;['mx', 'book', 'new', 'sherlock', 'holmes', 'story', 'part'];social-humanaria
Sourcebook for Children With Attention Deficit Disorder: A Management Guide for Early Childhood Professionals and Parents;sourcebook child attention deficit disorder management guide early childhood professional parent;['sourcebook', 'child', 'attention', 'deficit', 'disorder', 'management', 'guide', 'early', 'childhood', 'professional', 'parent'];social-humanaria
The Worry Cure: Seven Steps to Stop Worry from Stopping You;worry cure seven step stop worry stopping;['worry', 'cure', 'seven', 'step', 'stop', 'worry', 'stopping'];general
Computer-Controlled Systems: Theory and Design, Third Edition (Dover Books on Electrical Engineering);computercontrolled system theory design third edition dover book electrical engineering;['computercontrolled', 'system', 'theory', 'design', 'third', 'edition', 'dover', 'book', 'electrical', 'engineering'];sains-tech
Golf Quips, Quotes, and Jokes Diecut Calendar 2011;golf quip quote joke diecut calendar;['golf', 'quip', 'quote', 'joke', 'diecut', 'calendar'];general
Cracking the AP English Language & Composition Exam, 2016 Edition (College Test Preparation);cracking ap english language composition exam edition college test preparation;['cracking', 'ap', 'english', 'language', 'composition', 'exam', 'edition', 'college', 'test', 'preparation'];general
Bakuman. Complete Box Set (Volumes 1-20 with premium);bakuman complete box set volume premium;['bakuman', 'complete', 'box', 'set', 'volume', 'premium'];general
Fundamentals of Case Management Practice: Skills for the Human Services;fundamental case management practice skill human service;['fundamental', 'case', 'management', 'practice', 'skill', 'human', 'service'];social-humanaria
The Queen of Distraction: How Women with ADHD Can Conquer Chaos, Find Focus, and Get More Done;queen distraction woman adhd conquer chaos find focus get done;['queen', 'distraction', 'woman', 'adhd', 'conquer', 'chaos', 'find', 'focus', 'get', 'done'];sains-tech
The Mystical, Magical, Marvelous World of Dreams;mystical magical marvelous world dream;['mystical', 'magical', 'marvelous', 'world', 'dream'];general
Davis's PA Exam Review: Focused Review for the PANCE and PANRE;davis pa exam review focused review pance panre;['davis', 'pa', 'exam', 'review', 'focused', 'review', 'pance', 'panre'];general
The Long Squeeze: A Nick Sanders Thriller;long squeeze nick sander thriller;['long', 'squeeze', 'nick', 'sander', 'thriller'];general
George W. Bushisms: The Accidental Wit and Wisdom of Our 43rd President (Day to Day Calendar);george w bushisms accidental wit wisdom rd president day day calendar;['george', 'w', 'bushisms', 'accidental', 'wit', 'wisdom', 'rd', 'president', 'day', 'day', 'calendar'];general
High-Performance Differentials, Axles, and Drivelines;highperformance differential axle drivelines;['highperformance', 'differential', 'axle', 'drivelines'];sains-tech
Still My Grandma;still grandma;['still', 'grandma'];general
Jack & Jill (Alex Cross);jack jill alex cross;['jack', 'jill', 'alex', 'cross'];general
Anxiety and Avoidance: A Universal Treatment for Anxiety, Panic, and Fear;anxiety avoidance universal treatment anxiety panic fear;['anxiety', 'avoidance', 'universal', 'treatment', 'anxiety', 'panic', 'fear'];general
Reading, Writing, and Discussing at the Graduate Level: A Guidebook for International Students;reading writing discussing graduate level guidebook international student;['reading', 'writing', 'discussing', 'graduate', 'level', 'guidebook', 'international', 'student'];general
The Executive J Levine Jewish Calendar 5772 August 2011-December 2012 - A 17 Month Planner- Shipping now!;executive j levine jewish calendar august december month planner shipping;['executive', 'j', 'levine', 'jewish', 'calendar', 'august', 'december', 'month', 'planner', 'shipping'];general
West with the Night;west night;['west', 'night'];general
Inspired to Design: F1 cars, Indycars & racing tyres: the autobiography of Nigel Bennett;inspired design f car indycars racing tyre autobiography nigel bennett;['inspired', 'design', 'f', 'car', 'indycars', 'racing', 'tyre', 'autobiography', 'nigel', 'bennett'];social-humanaria
Plasterer(Passbooks) (Career Examination Passbooks);plastererpassbooks career examination passbook;['plastererpassbooks', 'career', 'examination', 'passbook'];general
The Pregnant Body Book;pregnant body book;['pregnant', 'body', 'book'];general
The Hypnotic World of Paul McKenna;hypnotic world paul mckenna;['hypnotic', 'world', 'paul', 'mckenna'];general
2016 Space Cats Wall Calendar;space cat wall calendar;['space', 'cat', 'wall', 'calendar'];general
Friction in Textile Materials (Woodhead Publishing Series in Textiles);friction textile material woodhead publishing series textile;['friction', 'textile', 'material', 'woodhead', 'publishing', 'series', 'textile'];general
Masters of Detection Volume III (Volume 3);master detection volume iii volume;['master', 'detection', 'volume', 'iii', 'volume'];general
Im Confident: For Children age 6-9 (Lynda Hudson's Unlock Your Life Audio CDs for Children);im confident child age lynda hudson unlock life audio cd child;['im', 'confident', 'child', 'age', 'lynda', 'hudson', 'unlock', 'life', 'audio', 'cd', 'child'];general
CLEP® Introductory Psychology Book + Online (CLEP Test Preparation);clep® introductory psychology book online clep test preparation;['clep®', 'introductory', 'psychology', 'book', 'online', 'clep', 'test', 'preparation'];sains-tech
The Official Doctor Who 2016 Desk Easel Calendar;official doctor desk easel calendar;['official', 'doctor', 'desk', 'easel', 'calendar'];general
Between the Lines: Understanding Yourself and Others Through Handwriting Analysis (Destiny Books S);line understanding others handwriting analysis destiny book;['line', 'understanding', 'others', 'handwriting', 'analysis', 'destiny', 'book'];sains-tech
Master The Firefighter Exam: Targeting Test Prep to Jump-Start Your Career (Arco Master the Firefighter);master firefighter exam targeting test prep jumpstart career arco master firefighter;['master', 'firefighter', 'exam', 'targeting', 'test', 'prep', 'jumpstart', 'career', 'arco', 'master', 'firefighter'];social-humanaria
Challenger and Barracuda Restoration Guide, 1967-74 (Motorbooks Workshop);challenger barracuda restoration guide motorbooks workshop;['challenger', 'barracuda', 'restoration', 'guide', 'motorbooks', 'workshop'];general
Fasten Your Seatbelt: A Crash Course on Down Syndrome for Brothers and Sisters;fasten seatbelt crash course syndrome brother sister;['fasten', 'seatbelt', 'crash', 'course', 'syndrome', 'brother', 'sister'];sains-tech
Reclaiming Yourself From Binge Eating - The Workbook;reclaiming binge eating workbook;['reclaiming', 'binge', 'eating', 'workbook'];general
Robert B. Parker's Wonderland (Spenser);robert b parker wonderland spenser;['robert', 'b', 'parker', 'wonderland', 'spenser'];general
Chris Hardman's Ecological 2015 Calendar;chris hardmans ecological calendar;['chris', 'hardmans', 'ecological', 'calendar'];general
Quality Control and Reliability, Volume 7 (Handbook of Statistics) (Vol 7);quality control reliability volume handbook statistic vol;['quality', 'control', 'reliability', 'volume', 'handbook', 'statistic', 'vol'];general
Systemic Coaching: Coaching With Whole Person With Meta-coaching;systemic coaching coaching whole person metacoaching;['systemic', 'coaching', 'coaching', 'whole', 'person', 'metacoaching'];general
Arco Como Obtener la Ciudadania Estadounidense;arco como obtener la ciudadania estadounidense;['arco', 'como', 'obtener', 'la', 'ciudadania', 'estadounidense'];general
Chili Peppers Calendar 2016: 16 Month Calendar;chili pepper calendar month calendar;['chili', 'pepper', 'calendar', 'month', 'calendar'];general
The Spirit of the Place;spirit place;['spirit', 'place'];general
The Anger Workbook for Women: How to Keep Your Anger from Undermining Your Self-Esteem, Your Emotional Balance, and Your Relationships (New Harbinger Self-Help Workbook);anger workbook woman keep anger undermining selfesteem emotional balance relationship new harbinger selfhelp workbook;['anger', 'workbook', 'woman', 'keep', 'anger', 'undermining', 'selfesteem', 'emotional', 'balance', 'relationship', 'new', 'harbinger', 'selfhelp', 'workbook'];sains-tech
Fancy Cycling, 1901: An Edwardian Guide;fancy cycling edwardian guide;['fancy', 'cycling', 'edwardian', 'guide'];social-humanaria
Small Talk: How to Connect Effortlessly With Anyone, Strike Up Conversations with Confidence and Make Small Talk Without the Fear of Being Awkward;small talk connect effortlessly anyone strike conversation confidence make small talk without fear awkward;['small', 'talk', 'connect', 'effortlessly', 'anyone', 'strike', 'conversation', 'confidence', 'make', 'small', 'talk', 'without', 'fear', 'awkward'];social-humanaria
The Princeton Review Complete MCAT: New for MCAT 2015 (Graduate School Test Preparation);princeton review complete mcat new mcat graduate school test preparation;['princeton', 'review', 'complete', 'mcat', 'new', 'mcat', 'graduate', 'school', 'test', 'preparation'];general
TExES Bilingual Generalist EC-6 (192) Book + Online (TExES Teacher Certification Test Prep);texes bilingual generalist ec book online texes teacher certification test prep;['texes', 'bilingual', 'generalist', 'ec', 'book', 'online', 'texes', 'teacher', 'certification', 'test', 'prep'];general
Healing the New Childhood Epidemics: Autism, ADHD, Asthma, and Allergies: The Groundbreaking Program for the 4-A Disorders;healing new childhood epidemic autism adhd asthma allergy groundbreaking program disorder;['healing', 'new', 'childhood', 'epidemic', 'autism', 'adhd', 'asthma', 'allergy', 'groundbreaking', 'program', 'disorder'];general
Getting to Yes: Negotiating Agreement Without Giving In;getting yes negotiating agreement without giving;['getting', 'yes', 'negotiating', 'agreement', 'without', 'giving'];general
SCRABBLE Year-In-A-Box Calendar (2016);scrabble yearinabox calendar;['scrabble', 'yearinabox', 'calendar'];general
Porsche 911 The classic models (1964-1989): The Classic Models (1964-1989) Including Turbo and 912 (Ultimate Buyers' Guide);porsche classic model classic model including turbo ultimate buyer guide;['porsche', 'classic', 'model', 'classic', 'model', 'including', 'turbo', 'ultimate', 'buyer', 'guide'];general
Doc: A Novel;doc novel;['doc', 'novel'];general
The Official Orange is the New Black 2016 Square Calendar;official orange new black square calendar;['official', 'orange', 'new', 'black', 'square', 'calendar'];general
Master The Public Safety Dispatcher/911 Operator Exam: Targeted Test Prep to Jump-Start Your Career;master public safety dispatcher operator exam targeted test prep jumpstart career;['master', 'public', 'safety', 'dispatcher', 'operator', 'exam', 'targeted', 'test', 'prep', 'jumpstart', 'career'];social-humanaria
The Anti-Anxiety Workbook: Proven Strategies to Overcome Worry, Phobias, Panic, and Obsessions (Guilford Self-Help Workbook);antianxiety workbook proven strategy overcome worry phobia panic obsession guilford selfhelp workbook;['antianxiety', 'workbook', 'proven', 'strategy', 'overcome', 'worry', 'phobia', 'panic', 'obsession', 'guilford', 'selfhelp', 'workbook'];general
Husbands and Fathers: Rediscover the Creator's Purpose for Men;husband father rediscover creator purpose men;['husband', 'father', 'rediscover', 'creator', 'purpose', 'men'];general
Torts: Bar Exam Review;tort bar exam review;['tort', 'bar', 'exam', 'review'];general
Black History 16-Month Calendar;black history month calendar;['black', 'history', 'month', 'calendar'];social-humanaria
Amateur Detectives: A Writer's Guide to How Private Citizens Solve Criminal Cases (Howdunit Writing);amateur detective writer guide private citizen solve criminal case howdunit writing;['amateur', 'detective', 'writer', 'guide', 'private', 'citizen', 'solve', 'criminal', 'case', 'howdunit', 'writing'];general
Ballistics: Theory and Design of Guns and Ammunition, Second Edition;ballistics theory design gun ammunition second edition;['ballistics', 'theory', 'design', 'gun', 'ammunition', 'second', 'edition'];social-humanaria
Models: Attract Women Through  Honesty;model attract woman honesty;['model', 'attract', 'woman', 'honesty'];general
Moleskine 2015 Star Wars Limited Edition Weekly Notebook, 12M, Large, Black, Hard Cover (5 x 8.25) (Moleskine Star Wars);moleskine star war limited edition weekly notebook large black hard cover x moleskine star war;['moleskine', 'star', 'war', 'limited', 'edition', 'weekly', 'notebook', 'large', 'black', 'hard', 'cover', 'x', 'moleskine', 'star', 'war'];social-humanaria
To Our Children's Children Journal;childrens child journal;['childrens', 'child', 'journal'];general
Barron's Regents Exams and Answers: Spanish;barrons regent exam answer spanish;['barrons', 'regent', 'exam', 'answer', 'spanish'];general
Organize Your Mind, Organize Your Life: Train Your Brain to Get More Done in Less Time;organize mind organize life train brain get done le time;['organize', 'mind', 'organize', 'life', 'train', 'brain', 'get', 'done', 'le', 'time'];general
CLEP® Introductory Business Law with CD (CLEP Test Preparation);clep® introductory business law cd clep test preparation;['clep®', 'introductory', 'business', 'law', 'cd', 'clep', 'test', 'preparation'];social-humanaria
"The Baby ""Fast To Sleep"" Formula: The Simple, Two-Part Strategy so your Baby Sleeps 8 Hours a Night by 8 Weeks Old, Guaranteed";baby fast sleep formula simple twopart strategy baby sleep hour night week old guaranteed;['baby', 'fast', 'sleep', 'formula', 'simple', 'twopart', 'strategy', 'baby', 'sleep', 'hour', 'night', 'week', 'old', 'guaranteed'];social-humanaria
The Grub Street Dictionary of International Aircraft Nicknames, Variants and Colloquial Terms;grub street dictionary international aircraft nickname variant colloquial term;['grub', 'street', 'dictionary', 'international', 'aircraft', 'nickname', 'variant', 'colloquial', 'term'];general
No Second Chance;second chance;['second', 'chance'];general
Maritime Northwest Garden Guide: Planning Calendar for Year-Round Organic Gardening;maritime northwest garden guide planning calendar yearround organic gardening;['maritime', 'northwest', 'garden', 'guide', 'planning', 'calendar', 'yearround', 'organic', 'gardening'];general
Survival Driving: Staying Alive on the World's Most Dangerous Roads;survival driving staying alive world dangerous road;['survival', 'driving', 'staying', 'alive', 'world', 'dangerous', 'road'];general
Handwriting Analysis - The Science Of Determining Personality By Graphoanalysis, New Edition;handwriting analysis science determining personality graphoanalysis new edition;['handwriting', 'analysis', 'science', 'determining', 'personality', 'graphoanalysis', 'new', 'edition'];sains-tech
The Storyteller;storyteller;['storyteller'];general
How to Troubleshoot, Repair, and Modify Motorcycle Electrical Systems (Motorbooks Workshop);troubleshoot repair modify motorcycle electrical system motorbooks workshop;['troubleshoot', 'repair', 'modify', 'motorcycle', 'electrical', 'system', 'motorbooks', 'workshop'];general
A Glimpse of Heaven 2016: Biblical Words of Inspiration and Images from the Hubble Telescope;glimpse heaven biblical word inspiration image hubble telescope;['glimpse', 'heaven', 'biblical', 'word', 'inspiration', 'image', 'hubble', 'telescope'];general
PCCN Certification Review, 2nd Edition;pccn certification review nd edition;['pccn', 'certification', 'review', 'nd', 'edition'];general
Best for Babies: Expert Advice for Caregivers and Administrators in Assessing Infant-Toddler Programs;best baby expert advice caregiver administrator assessing infanttoddler program;['best', 'baby', 'expert', 'advice', 'caregiver', 'administrator', 'assessing', 'infanttoddler', 'program'];general
Dying Well: Peace and Possibilities at the End of Life;dying well peace possibility end life;['dying', 'well', 'peace', 'possibility', 'end', 'life'];general
The Remaining;remaining;['remaining'];general
2016 Soar 17 Month Spiral Planner;soar month spiral planner;['soar', 'month', 'spiral', 'planner'];general
Haynes Repair Manual: Ford Pick-ups & Expedition 1997 thru 1999 (Haynes);haynes repair manual ford pickup expedition thru haynes;['haynes', 'repair', 'manual', 'ford', 'pickup', 'expedition', 'thru', 'haynes'];general
Opening to Inner Light: The Transformation of Human Nature and Consciousness;opening inner light transformation human nature consciousness;['opening', 'inner', 'light', 'transformation', 'human', 'nature', 'consciousness'];social-humanaria
The Art of Ducati;art ducati;['art', 'ducati'];social-humanaria
Robert B. Parker's Damned If You Do (A Jesse Stone Novel);robert b parker damned jesse stone novel;['robert', 'b', 'parker', 'damned', 'jesse', 'stone', 'novel'];general
Behind The Ranks;behind rank;['behind', 'rank'];general
Yoga Kittens 2016 Two-Year Pocket Planner;yoga kitten twoyear pocket planner;['yoga', 'kitten', 'twoyear', 'pocket', 'planner'];general
4,000 Questions for Getting to Know Anyone and Everyone, 2nd Edition;question getting know anyone everyone nd edition;['question', 'getting', 'know', 'anyone', 'everyone', 'nd', 'edition'];general
The 365 Kittens-A-Year Picture-A-Day Wall Calendar 2016;kittensayear pictureaday wall calendar;['kittensayear', 'pictureaday', 'wall', 'calendar'];general
How to Build Glued-Lapstrake Wooden Boats;build gluedlapstrake wooden boat;['build', 'gluedlapstrake', 'wooden', 'boat'];general
Relatos y Vivencia sobre las Raíces de mi Pueblo.: San Antonio de Monte Carmelo Santuario de mis Recuerdos. (Spanish Edition);relatos vivencia sobre la raíces de mi pueblo san antonio de monte carmelo santuario de mi recuerdos spanish edition;['relatos', 'vivencia', 'sobre', 'la', 'raíces', 'de', 'mi', 'pueblo', 'san', 'antonio', 'de', 'monte', 'carmelo', 'santuario', 'de', 'mi', 'recuerdos', 'spanish', 'edition'];general
The Crime Writer's Handbook (Allison & Busby Writers' Guides);crime writer handbook allison busby writer guide;['crime', 'writer', 'handbook', 'allison', 'busby', 'writer', 'guide'];general
The Mariner's Book of Days 2012;mariner book day;['mariner', 'book', 'day'];general
The Culture Map: Breaking Through the Invisible Boundaries of Global Business;culture map breaking invisible boundary global business;['culture', 'map', 'breaking', 'invisible', 'boundary', 'global', 'business'];social-humanaria
GIS For Dummies;gi dummy;['gi', 'dummy'];sains-tech
Say Uncle;say uncle;['say', 'uncle'];general
Hot Guys and Baby Animals 2016 Wall Calendar;hot guy baby animal wall calendar;['hot', 'guy', 'baby', 'animal', 'wall', 'calendar'];sains-tech
Being Cool: The Work of Elmore Leonard;cool work elmore leonard;['cool', 'work', 'elmore', 'leonard'];general
Amar o depender (Spanish Edition);amar depender spanish edition;['amar', 'depender', 'spanish', 'edition'];general
Inside the BMW Factories: Building the Ultimate Driving Machine;inside bmw factory building ultimate driving machine;['inside', 'bmw', 'factory', 'building', 'ultimate', 'driving', 'machine'];sains-tech
Health Revelations from Heaven and Earth;health revelation heaven earth;['health', 'revelation', 'heaven', 'earth'];sains-tech
Mindfulness for Teen Anxiety: A Workbook for Overcoming Anxiety at Home, at School, and Everywhere Else (Teen Instant Help);mindfulness teen anxiety workbook overcoming anxiety home school everywhere else teen instant help;['mindfulness', 'teen', 'anxiety', 'workbook', 'overcoming', 'anxiety', 'home', 'school', 'everywhere', 'else', 'teen', 'instant', 'help'];general
The Encyclopedia of Craft Projects for the first time®: Easy, Step-by-Step Crafts with Basic How-to Instructions--All Illustrated with Over 500 Photos;encyclopedia craft project first time® easy stepbystep craft basic howto instructionsall illustrated photo;['encyclopedia', 'craft', 'project', 'first', 'time®', 'easy', 'stepbystep', 'craft', 'basic', 'howto', 'instructionsall', 'illustrated', 'photo'];general
